Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE,Absolute score
GSM4641894,0,0.1636688418402,0.037064403161419,0.32466604200471,0,0,0,0,0.14339168038474,0,0,0.11036944995496,0.080234620486461,0.035903818895401,0,0,0,0,0.049612736668129,0,0,0,0.055088406603978,0.17215233867034005,1.0490468077841637,0.7890214289312586
GSM4641895,0,0.042376030259211,0.038570724614314,0.19002729335243,0,0,0,0,0.052052960615521,0,0,0.05717504963476,0.11649732182293,0.036433155850292,0,0,0,0.021479759986541,0,0.047675140283172,0,0,0.39771256358083,0.0353218174415543,1.0947411423944806,0.7011573397414259
GSM4641896,0,0.13123653556736,0,0.16772064692496,0,0,0,0.025664515882354,0.10819194046209,0,0.031628238444377,0.027774468211051,0.018249511929613,0.087537881635873,0,0,0,0.022483972315213,0.074557126524602,0,0,0,0.30495516210251,0.05414601317285963,1.0793848310305705,0.7840346842739072
GSM4641897,0,0.13610762954827,0,0.19105354088073,0,0.11215232833825,0,0,0.028933004450646,0,0,0.12393150103001,0.13058708125246,0.068567080211827,0.0025433112264693,0.055375494090979,0,0.02679883867121,0,0,0.0062184337717559,0,0.11773175652738,0.12927790836985262,1.0587914827996245,0.7493884993276305
GSM4641898,0,0.15879915139891,0.024954133783085,0.33983572348937,0.0081180447112809,0,0,0,0.11851976164772,0,0.004848752289689,0.094758449969268,0.11185219852184,0.034454297201457,0,0,0,0.0092347305171766,0,0,0,0,0.094624756470194,0.14435483655866768,1.0691098587253378,0.7941488888972156
GSM4641899,0,0.11069462647723,0,0.21777041045514,0,0,0,0.052317315363494,0.03704922689587,0,0.0092658683637715,0.043622345281162,0.044222569973103,0.063513079752916,0,0,0,0.02533208712088,0.027528657272535,0,0,0,0.36868381304389,0.04047273961519257,1.1012159932552277,0.7397357386356622
GSM4641900,0.030616129641572,0.007410996672412,0,0.20420995071536,0.0095973525903401,0,0,0.039029454900197,0.048762439515818,0,0.077957709831506,0,0.035409972513133,0.019749472934433,0,0,0,0.052982382918774,0,0.043961901971563,0,0,0.43031223579489,0.02203585894820015,1.1299328172852101,0.7427045041577736
GSM4641901,0,0.14607295067512,0,0.068769212357403,0,0.0099372075824735,0,0,0.062986800669038,0,0,0.042804914282347,0.034859431385397,0.048684231275713,0,0.022469450552106,0,0.040456064687024,0.036979247970192,0,0,0,0.48598048856318,0.004359673077252571,1.0872438235683182,0.7150023466139876
GSM4641902,0.034503510064165,0,0.080263273304756,0.1320799704745,0,0.024810714151212,0,0.066236607711969,0.029891766351682,0,0,0.059149851368559,0.067069179650101,0.026230084887083,0,0,0,0.025244905279102,0.023421113532686,0,0,0,0.43109902322419,0.02804200310587589,1.0865169359018216,0.6743425140660965
GSM4641903,0,0.057362311638884,0.017886188462533,0.22859392666005,0,0,0,0.10991270165946,0.034929880650092,0,0.0053940919234545,0.046725842209577,0.054961136685826,0.055668728416823,0,0,0,0.025953877216066,0.01536339535501,0,0,0,0.34724791912222,0.0494245475174061,1.1046657105015167,0.6842424226475533
