GSM527897	Prostate tumor PCA0058 transcript
GSM527898	Prostate tumor PCA0062 transcript
GSM527899	Prostate tumor PCA0063 transcript
GSM527900	Prostate tumor PCA0064 transcript
GSM527901	Prostate tumor PCA0065 transcript
GSM527902	Prostate tumor PCA0066 transcript
GSM527903	Prostate tumor PCA0068 transcript
GSM527904	Prostate tumor PCA0073 transcript
GSM527905	Prostate tumor PCA0074 transcript
GSM527906	Prostate tumor PCA0075 transcript
GSM527907	Prostate tumor PCA0077 transcript
GSM527908	Prostate tumor PCA0080 transcript
GSM527909	Prostate tumor PCA0081 transcript
GSM527910	Prostate tumor PCA0082 transcript
GSM527911	Prostate tumor PCA0083 transcript
GSM527912	Prostate tumor PCA0084 transcript
GSM527913	Prostate tumor PCA0086 transcript
GSM527914	Prostate tumor PCA0087 transcript
GSM527915	Prostate tumor PCA0089 transcript
GSM527916	Prostate tumor PCA0090 transcript
GSM527917	Prostate tumor PCA0092 transcript
GSM527918	Prostate tumor PCA0093 transcript
GSM527919	Prostate tumor PCA0094 transcript
GSM527920	Prostate tumor PCA0095 transcript
GSM527921	Prostate tumor PCA0096 transcript
GSM527922	Prostate tumor PCA0097 transcript
GSM527923	Prostate tumor PCA0099 transcript
GSM527924	Prostate tumor PCA0100 transcript
GSM527925	Prostate tumor PCA0101 transcript
GSM527926	Prostate tumor PCA0103 transcript
GSM527927	Prostate tumor PCA0104 transcript
GSM527928	Prostate tumor PCA0105 transcript
GSM527929	Prostate tumor PCA0107 transcript
GSM527930	Prostate tumor PCA0108 transcript
GSM527931	Prostate tumor PCA0109 transcript
GSM527932	Prostate tumor PCA0110 transcript
GSM527933	Prostate tumor PCA0111 transcript
GSM527934	Prostate tumor PCA0112 transcript
GSM527935	Prostate tumor PCA0113 transcript
GSM527936	Prostate tumor PCA0114 transcript
GSM527937	Prostate tumor PCA0115 transcript
GSM527938	Prostate tumor PCA0117 transcript
GSM527939	Prostate tumor PCA0118 transcript
GSM527940	Prostate tumor PCA0119 transcript
GSM527941	Prostate tumor PCA0120 transcript
GSM527942	Prostate tumor PCA0122 transcript
GSM527943	Prostate tumor PCA0123 transcript
GSM527944	Prostate tumor PCA0124 transcript
GSM527945	Prostate tumor PCA0125 transcript
GSM527946	Prostate tumor PCA0126 transcript
GSM527947	Prostate tumor PCA0127 transcript
GSM527948	Prostate tumor PCA0128 transcript
GSM527949	Prostate tumor PCA0129 transcript
GSM527950	Prostate tumor PCA0130 transcript
GSM527951	Prostate tumor PCA0132 transcript
GSM527952	Prostate tumor PCA0133 transcript
GSM527953	Prostate tumor PCA0134 transcript
GSM527954	Prostate tumor PCA0135 transcript
GSM527955	Prostate tumor PCA0136 transcript
GSM527956	Prostate tumor PCA0141 transcript
GSM527957	Prostate tumor PCA0144 transcript
GSM527958	Prostate tumor PCA0145 transcript
GSM527959	Prostate tumor PCA0146 transcript
GSM527960	Prostate tumor PCA0147 transcript
GSM527961	Prostate tumor PCA0149 transcript
GSM527962	Prostate tumor PCA0150 transcript
GSM527963	Prostate tumor PCA0151 transcript
GSM527965	Prostate tumor PCA0155 transcript
GSM527966	Prostate tumor PCA0156 transcript
GSM527968	Prostate tumor PCA0157 transcript
GSM527970	Prostate tumor PCA0158 transcript
GSM527971	Prostate tumor PCA0159 transcript
GSM527972	Prostate tumor PCA0160 transcript
GSM527973	Prostate tumor PCA0161 transcript
GSM527974	Prostate tumor PCA0162 transcript
GSM527975	Prostate tumor PCA0163 transcript
GSM527977	Prostate tumor PCA0164 transcript
GSM527979	Prostate tumor PCA0165 transcript
GSM527980	Prostate tumor PCA0167 transcript
GSM527982	Prostate tumor PCA0168 transcript
GSM527984	Prostate tumor PCA0169 transcript
GSM527985	Prostate tumor PCA0170 transcript
GSM527986	Prostate tumor PCA0171 transcript
GSM527987	Prostate tumor PCA0172 transcript
GSM527988	Prostate tumor PCA0173 transcript
GSM527989	Prostate tumor PCA0174 transcript
GSM527990	Prostate tumor PCA0175 transcript
GSM527991	Prostate tumor PCA0176 transcript
GSM527992	Prostate tumor PCA0178 transcript
GSM527993	Prostate tumor PCA0179 transcript
GSM527994	Prostate tumor PCA0180 transcript
GSM527995	Prostate tumor PCA0181 transcript
GSM527996	Prostate tumor PCA0182 transcript
GSM527997	Prostate tumor PCA0184 transcript
GSM527998	Prostate tumor PCA0187 transcript
GSM527999	Prostate tumor PCA0188 transcript
GSM528000	Prostate tumor PCA0189 transcript
GSM528001	Prostate tumor PCA0190 transcript
GSM528002	Prostate tumor PCA0193 transcript
GSM528003	Prostate tumor PCA0194 transcript
